"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  FC Dallas               3-2  Toronto FC","Sat","18.04","FC Dallas","Toronto FC",3,2
"  Colorado Rapids         1-3  Seattle Sounders FC","Sat","18.04","Colorado Rapids","Seattle Sounders FC",1,3
"  Real Salt Lake          0-1  Vancouver Whitecaps FC","Sat","18.04","Real Salt Lake","Vancouver Whitecaps FC",0,1
"  LA Galaxy               2-1  Sporting Kansas City","Sat","18.04","LA Galaxy","Sporting Kansas City",2,1
"  Philadelphia Union      1-2  New England Revolution","Sun","19.04","Philadelphia Union","New England Revolution",1,2
"  New York City FC        0-1  Portland Timbers","Sun","19.04","New York City FC","Portland Timbers",0,1
"  Chicago Fire            1-0  New York City FC","Fri","24.04","Chicago Fire","New York City FC",1,0
"  Colorado Rapids         1-1  FC Dallas","Fri","24.04","Colorado Rapids","FC Dallas",1,1
"  Columbus Crew SC        4-1  Philadelphia Union","Sat","25.04","Columbus Crew SC","Philadelphia Union",4,1
"  New England Revolution  4-0  Real Salt Lake","Sat","25.04","New England Revolution","Real Salt Lake",4,0
"  Houston Dynamo          4-4  Sporting Kansas City","Sat","25.04","Houston Dynamo","Sporting Kansas City",4,4
"  Vancouver Whitecaps FC  1-2  D.C. United ","Sat","25.04","Vancouver Whitecaps FC","D.C. United",1,2
"  New York Red Bulls      1-1  LA Galaxy","Sun","26.04","New York Red Bulls","LA Galaxy",1,1
"  Orlando City SC         0-2  Toronto FC","Sun","26.04","Orlando City SC","Toronto FC",0,2
"  Seattle Sounders FC     1-0  Portland Timbers","Sun","26.04","Seattle Sounders FC","Portland Timbers",1,0
"  New York Red Bulls      1-1  Colorado Rapids","Wed","29.04","New York Red Bulls","Colorado Rapids",1,1
"  Houston Dynamo          1-4  FC Dallas","Fri","01.05","Houston Dynamo","FC Dallas",1,4
"  Real Salt Lake          1-1  San Jose Earthquakes","Fri","01.05","Real Salt Lake","San Jose Earthquakes",1,1
"  Philadelphia Union      0-1  Toronto FC","Sat","02.05","Philadelphia Union","Toronto FC",0,1
"  D.C. United             2-0  Columbus Crew SC","Sat","02.05","D.C. United","Columbus Crew SC",2,0
"  New England Revolution  2-1  New York Red Bulls","Sat","02.05","New England Revolution","New York Red Bulls",2,1
"  Portland Timbers        0-0  Vancouver Whitecaps FC","Sat","02.05","Portland Timbers","Vancouver Whitecaps FC",0,0
"  LA Galaxy               1-1  Colorado Rapids","Sat","02.05","LA Galaxy","Colorado Rapids",1,1
"  Sporting Kansas City    1-0  Chicago Fire","Sun","03.05","Sporting Kansas City","Chicago Fire",1,0
"  New York City FC        1-3  Seattle Sounders FC","Sun","03.05","New York City FC","Seattle Sounders FC",1,3
