"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  Houston Dynamo          2-0  Vancouver Whitecaps FC","Sat","29.08","Houston Dynamo","Vancouver Whitecaps FC",2,0
"  FC Dallas               2-0  Real Salt Lake","Sat","29.08","FC Dallas","Real Salt Lake",2,0
"  Orlando City SC         1-1  Chicago Fire","Sat","29.08","Orlando City SC","Chicago Fire",1,1
"  Seattle Sounders FC     2-1  Portland Timbers","Sun","30.08","Seattle Sounders FC","Portland Timbers",2,1
"  New York Red Bulls      3-0  D.C. United ","Sun","30.08","New York Red Bulls","D.C. United",3,0
"  New England Revolution  3-0  Orlando City SC","Sat","05.09","New England Revolution","Orlando City SC",3,0
"  Montreal Impact         4-3  Chicago Fire","Sat","05.09","Montreal Impact","Chicago Fire",4,3
"  Seattle Sounders FC     2-1  Toronto FC","Sat","05.09","Seattle Sounders FC","Toronto FC",2,1
"  San Jose Earthquakes    1-2  Philadelphia Union","Sat","05.09","San Jose Earthquakes","Philadelphia Union",1,2
"  Columbus Crew SC        0-3  FC Dallas","Sun","06.09","Columbus Crew SC","FC Dallas",0,3
"  Vancouver Whitecaps FC  2-0  Colorado Rapids","Wed","09.09","Vancouver Whitecaps FC","Colorado Rapids",2,0
"  Portland Timbers        0-0  Sporting Kansas City","Wed","09.09","Portland Timbers","Sporting Kansas City",0,0
"  New York Red Bulls      3-2  Chicago Fire","Fri","11.09","New York Red Bulls","Chicago Fire",3,2
"  Philadelphia Union      1-2  Columbus Crew SC","Sat","12.09","Philadelphia Union","Columbus Crew SC",1,2
"  Houston Dynamo          1-3  Real Salt Lake","Sat","12.09","Houston Dynamo","Real Salt Lake",1,3
"  FC Dallas               2-1  New York City FC","Sat","12.09","FC Dallas","New York City FC",2,1
"  Colorado Rapids         1-0  D.C. United ","Sat","12.09","Colorado Rapids","D.C. United",1,0
"  LA Galaxy               -  Montreal Impact","Sat","12.09","LA Galaxy","Montreal Impact",NA,NA
"  San Jose Earthquakes    -  Seattle Sounders FC","Sat","12.09","San Jose Earthquakes","Seattle Sounders FC",NA,NA
"  Toronto FC              -  New England Revolution","Sun","13.09","Toronto FC","New England Revolution",NA,NA
"  Orlando City SC         -  Sporting Kansas City","Sun","13.09","Orlando City SC","Sporting Kansas City",NA,NA
"  New York City FC        -  Toronto FC","Wed","16.09","New York City FC","Toronto FC",NA,NA
"  New England Revolution  -  New York Red Bulls","Wed","16.09","New England Revolution","New York Red Bulls",NA,NA
"  San Jose Earthquakes    -  Montreal Impact","Wed","16.09","San Jose Earthquakes","Montreal Impact",NA,NA
"  Sporting Kansas City    -  FC Dallas","Fri","18.09","Sporting Kansas City","FC Dallas",NA,NA
"  Toronto FC              -  Colorado Rapids","Sat","19.09","Toronto FC","Colorado Rapids",NA,NA
"  New York City FC        -  San Jose Earthquakes","Sat","19.09","New York City FC","San Jose Earthquakes",NA,NA
"  Vancouver Whitecaps FC  -  Seattle Sounders FC","Sat","19.09","Vancouver Whitecaps FC","Seattle Sounders FC",NA,NA
"  D.C. United             -  Columbus Crew SC","Sat","19.09","D.C. United","Columbus Crew SC",NA,NA
"  Montreal Impact         -  New England Revolution","Sat","19.09","Montreal Impact","New England Revolution",NA,NA
"  Chicago Fire            -  Orlando City SC","Sat","19.09","Chicago Fire","Orlando City SC",NA,NA
"  Real Salt Lake          -  LA Galaxy","Sat","19.09","Real Salt Lake","LA Galaxy",NA,NA
"  Portland Timbers        -  New York Red Bulls","Sun","20.09","Portland Timbers","New York Red Bulls",NA,NA
"  Philadelphia Union      -  Houston Dynamo","Sun","20.09","Philadelphia Union","Houston Dynamo",NA,NA
"  Montreal Impact         -  Chicago Fire","Wed","23.09","Montreal Impact","Chicago Fire",NA,NA
"  Houston Dynamo          -  Sporting Kansas City","Wed","23.09","Houston Dynamo","Sporting Kansas City",NA,NA
"  New York Red Bulls      -  Orlando City SC","Fri","25.09","New York Red Bulls","Orlando City SC",NA,NA
"  Toronto FC              -  Chicago Fire","Sat","26.09","Toronto FC","Chicago Fire",NA,NA
"  Montreal Impact         -  D.C. United ","Sat","26.09","Montreal Impact","D.C. United",NA,NA
"  San Jose Earthquakes    -  Real Salt Lake","Sat","26.09","San Jose Earthquakes","Real Salt Lake",NA,NA
"  New England Revolution  -  Philadelphia Union","Sat","26.09","New England Revolution","Philadelphia Union",NA,NA
"  Columbus Crew SC        -  Portland Timbers","Sat","26.09","Columbus Crew SC","Portland Timbers",NA,NA
"  Houston Dynamo          -  Colorado Rapids","Sat","26.09","Houston Dynamo","Colorado Rapids",NA,NA
"  Vancouver Whitecaps FC  -  New York City FC","Sat","26.09","Vancouver Whitecaps FC","New York City FC",NA,NA
"  LA Galaxy               -  FC Dallas","Sat","26.09","LA Galaxy","FC Dallas",NA,NA
"  Sporting Kansas City    -  Seattle Sounders FC","Sun","27.09","Sporting Kansas City","Seattle Sounders FC",NA,NA
"  D.C. United             -  New York City FC","Fri","02.10","D.C. United","New York City FC",NA,NA
"  Toronto FC              -  Philadelphia Union","Sat","03.10","Toronto FC","Philadelphia Union",NA,NA
"  New York Red Bulls      -  Columbus Crew SC","Sat","03.10","New York Red Bulls","Columbus Crew SC",NA,NA
"  Orlando City SC         -  Montreal Impact","Sat","03.10","Orlando City SC","Montreal Impact",NA,NA
"  Chicago Fire            -  New England Revolution","Sat","03.10","Chicago Fire","New England Revolution",NA,NA
"  Colorado Rapids         -  Real Salt Lake","Sat","03.10","Colorado Rapids","Real Salt Lake",NA,NA
"  Portland Timbers        -  Sporting Kansas City","Sat","03.10","Portland Timbers","Sporting Kansas City",NA,NA
"  San Jose Earthquakes    -  Vancouver Whitecaps FC","Sat","03.10","San Jose Earthquakes","Vancouver Whitecaps FC",NA,NA
"  FC Dallas               -  Houston Dynamo","Sun","04.10","FC Dallas","Houston Dynamo",NA,NA
"  Seattle Sounders FC     -  LA Galaxy","Sun","04.10","Seattle Sounders FC","LA Galaxy",NA,NA
"  Vancouver Whitecaps FC  -  FC Dallas","Wed","07.10","Vancouver Whitecaps FC","FC Dallas",NA,NA
"  Real Salt Lake          -  FC Dallas","Wed","07.10","Real Salt Lake","FC Dallas",NA,NA
"  Colorado Rapids         -  Montreal Impact","Sat","10.10","Colorado Rapids","Montreal Impact",NA,NA
"  Toronto FC              -  New York Red Bulls","Wed","14.10","Toronto FC","New York Red Bulls",NA,NA
"  FC Dallas               -  Vancouver Whitecaps FC","Wed","14.10","FC Dallas","Vancouver Whitecaps FC",NA,NA
"  Real Salt Lake          -  Portland Timbers","Wed","14.10","Real Salt Lake","Portland Timbers",NA,NA
"  Orlando City SC         -  New York City FC","Fri","16.10","Orlando City SC","New York City FC",NA,NA
"  San Jose Earthquakes    -  Sporting Kansas City","Fri","16.10","San Jose Earthquakes","Sporting Kansas City",NA,NA
"  Toronto FC              -  Columbus Crew SC","Sat","17.10","Toronto FC","Columbus Crew SC",NA,NA
"  New England Revolution  -  Montreal Impact","Sat","17.10","New England Revolution","Montreal Impact",NA,NA
"  LA Galaxy               -  Portland Timbers","Sun","18.10","LA Galaxy","Portland Timbers",NA,NA
"  New York Red Bulls      -  Philadelphia Union","Sun","18.10","New York Red Bulls","Philadelphia Union",NA,NA
"  D.C. United             -  Chicago Fire","Sun","18.10","D.C. United","Chicago Fire",NA,NA
"  Houston Dynamo          -  Seattle Sounders FC","Sun","18.10","Houston Dynamo","Seattle Sounders FC",NA,NA
"  Philadelphia Union      -  Orlando City SC","Sun","25.10","Philadelphia Union","Orlando City SC",NA,NA
"  Montreal Impact         -  Toronto FC","Sun","25.10","Montreal Impact","Toronto FC",NA,NA
"  Columbus Crew SC        -  D.C. United ","Sun","25.10","Columbus Crew SC","D.C. United",NA,NA
"  Chicago Fire            -  New York Red Bulls","Sun","25.10","Chicago Fire","New York Red Bulls",NA,NA
"  New York City FC        -  New England Revolution","Sun","25.10","New York City FC","New England Revolution",NA,NA
"  Portland Timbers        -  Colorado Rapids","Sun","25.10","Portland Timbers","Colorado Rapids",NA,NA
"  FC Dallas               -  San Jose Earthquakes","Sun","25.10","FC Dallas","San Jose Earthquakes",NA,NA
"  Vancouver Whitecaps FC  -  Houston Dynamo","Sun","25.10","Vancouver Whitecaps FC","Houston Dynamo",NA,NA
"  Seattle Sounders FC     -  Real Salt Lake","Sun","25.10","Seattle Sounders FC","Real Salt Lake",NA,NA
"  Sporting Kansas City    -  LA Galaxy","Sun","25.10","Sporting Kansas City","LA Galaxy",NA,NA
